id,name,rarity
combat-mk-2,Combat Mk. 2,Rare
combat-mk-3-aggressive,Combat Mk. 3 (Aggressive),Epic
combat-mk3-aggressive-blueprint,Combat Mk.3 (Aggressive) Blueprint,Legendary
combat-mk3-flanking,Combat Mk.3 (Flanking) ,Epic
combat-mk-3-flanking,Combat Mk. 3 (Flanking) Blueprint,Legendary
compensator-i,Compensator I,Common
compensator-ii,Compensator II,Uncommon
compensator-ii-recipe,Compensator II Blueprint,Legendary
compensator-iii,Compensator III,Rare
compensator-iii-recipe,Compensator III Blueprint,Legendary
complex-gun-parts,Complex Gun Parts,Epic
complex-gun-parts-blueprint,Complex Gun Parts Blueprint,Legendary
coolant,Coolant,Rare
cooling-coil,Cooling Coil,Rare
cooling-fan,Cooling Fan,Rare
cracked-bioscanner,Cracked Bioscanner,Rare
crimson-racer-aviator-colour,Crimson Racer (Aviator Colour),Common
crude-explosives,Crude Explosives,Uncommon
crumpled-plastic-bottle,Crumpled Plastic Bottle,Uncommon
damaged-arc-motion-core,Damaged ARC Motion Core,Uncommon
damaged-arc-powercell,Damaged ARC Powercell,Common
damaged-fireball-burner,Damaged Fireball Burner,Common
damaged-heat-sink,Damaged Heat Sink,Rare
danaged-hornet-driver,Damaged Hornet Driver,Common
damaged-rocketeer-part,Damaged Rocketeer Driver,Common
damaged-tick-pod,Damaged Tick Pod,Common
damaged-wasp-driver,Damaged Wasp Driver,Common
dam-control-center-tower-key,Dam Control Center Tower Key,Epic
dam-staff-room-key,Dam Staff Room Key,Uncommon
dam-surveillance-key,Dam Surveillance Key,Uncommon
dam-testing-annex-key,Dam Testing Annex Key,Rare
dam-utility-key,Dam Utility Key,Uncommon
dart-board,Dart Board,Uncommon
deadline,Deadline,Epic
deadline-blueprint,Deadline Blueprint,Legendary
defibrillator,Defibrillator,Rare
defibrillator-recipe,Defibrillator Blueprint,Legendary
deflated-football,Deflated Football,Uncommon
degraded-arc-rubber,Degraded ARC Rubber,Uncommon
diving-googles,Diving Goggles,Rare
dog-collar,Dog Collar,Rare
door-blocker,Door Blocker,Common
dried-out-arc-resin,Dried-Out ARC Resin,Uncommon
duct-tape-recipe,Duct Tape,Uncommon
durable-cloth,Durable Cloth,Uncommon
electrical-components,Electrical Components,Uncommon
empty-wine-bottle,Empty Wine Bottle,Common
energy-ammo,Energy Clip,Rare
equalizer-i,Equalizer,Legendary
equalizer-recipe,Equalizer Blueprint,Legendary
esr-analyzer,ESR Analyzer,Common
exodus-modules,Exodus Modules,Epic
expired-pasta,Expired Pasta,Common
expired-respirator,Expired Respirator,Rare
explosive-compound,Explosive Compound,Rare
explosive-mine,Explosive Mine,Rare
explosive-mine-blueprint,Explosive Mine Blueprint,Legendary
extended-barrel,Extended Barrel,Epic
extended-barrel-recipe,Extended Barrel Blueprint,Legendary
extended-light-mag-i,Extended Light Mag I,Common
extended-light-mag-ii,Extended Light Mag II,Uncommon
extended-light-mag-ii-recipe,Extended Light Mag II Blueprint,Legendary
extended-light-mag-iii,Extended Light Mag III,Rare
extended-light-mag-iii-recipe,Extended Light Mag III Blueprint,Legendary
extended-medium-mag-i,Extended Medium Mag I,Common
extended-medium-mag-ii,Extended Medium Mag II,Uncommon
extended-medium-mag-ii-recipe,Extended Medium Mag II Blueprint,Legendary
extended-medium-mag-iii,Extended Medium Mag III,Rare
extended-medium-mag-iii-blueprint,Extended Medium Mag III Blueprint,Legendary
extended-shotgun-mag-i,Extended Shotgun Mag I,Common
extended-shotgun-mag-ii,Extended Shotgun Mag II,Uncommon
extended-shotgun-mag-ii-recipe,Extended Shotgun Mag II Blueprint,Legendary
extended-shotgun-mag-iii,Extended Shotgun Mag III,Rare
extended-shotgun-mag-iii-recipe,Extended Shotgun Mag III Blueprint,Legendary
fabric,Fabric,Common
faded-photograph,Faded Photograph,Common
ferro-i,Ferro I,Common
ferro-ii,Ferro II,Common
ferro-iii,Ferro III,Common
ferro-iv,Ferro IV,Common
fertilizer,Fertilizer,Common
film-reel,Film Reel,Rare
fine-wristwatch,Fine Wristwatch,Rare
fireball-burner,Fireball Burner,Uncommon
firecracker,Firecracker,Common
fireworks-box,Fireworks Box,Rare
fireworks-box-blueprint,Fireworks Box Blueprint,Legendary
flame-spray,Flame Spray,Uncommon
flow-controller,Flow Controller,Rare
flushing-terminal-key,Flushing Terminal Key,Common
fossilized-lightning,Fossilized Lightning,Epic
free-loadout-augment,Free Loadout Augment,Common
frequency-modulation-box,Frequency Modulation Box,Rare
fried-motherboard,Fried Motherboard,Rare
fruit-mix,Fruit Mix,Common
frying-pan,Frying Pan,Rare
garlic-press,Garlic Press,Uncommon
gas-grenade,Gas Grenade,Common
gas-grenade-trap,Gas Grenade Trap,Common
gas-mine,Gas Mine,Common
gas-mine-blueprint,Gas Mine Blueprint,Legendary
geiger-counter,Geiger Counter,Epic
goggles-radio-renegade-variant,Goggles (Radio Renegade Variant),Common
great-muullein,Great Mullein,Uncommon
green-light-stick,Green Light Stick,Common
green-light-stick-blueprint,Green Light Stick Blueprint,Legendary
hairpin-i,Hairpin I,Common
hairpin-ii,Hairpin II,Common
hairpin-iii,Hairpin III,Common
hairpin-iv,Hairpin IV,Common
happy-jig-emote,Happy Jig (Emote),Common
headphones,Headphones,Rare
heavy-ammo,Heavy Ammo,Common
heavy-fuze-grenade,Heavy Fuze Grenade,Rare
heavy-gun-parts,Heavy Gun Parts,Rare
heavy-gun-parts-recipe,Heavy Gun Parts Blueprint,Legendary
heavy-shield,Heavy Shield,Epic
helmet-radio-renegade-variant,Helmet (Radio Renegade Variant),Common
herbal-bandage,Herbal Bandage,Uncommon
horizontal-grip,Horizontal Grip,Epic
hornet-driver,Hornet Driver,Rare
household-cleaner,Household Cleaner,Uncommon
hullcracker-blueprint,Hullcracker Blueprint,Legendary
hullcracker-i,Hullcracker I,Epic
hullcracker-ii,Hullcracker II,Epic
hullcracker-iii,Hullcracker III,Epic
hullcracker-iv,Hullcracker IV ,Epic
humidifier,Humidifier,Rare
ice-cream-scooper,Ice Cream Scooper,Uncommon
il-toro-recipe,Il Toro Blueprint,Legendary
il-toro-i,Il Toro I,Uncommon
il-toro-ii,Il Toro II,Uncommon
il-toro-iiii,Il Toro III,Uncommon
il-toro-iv,Il Toro IV,Uncommon
impure-arc-coolant,Impure ARC Coolant,Uncommon
industrial-battery,Industrial Battery,Rare
industrial-charger,Industrial Charger,Rare
industrial-magnet,Industrial Magnet,Rare
ion-sputter,Ion Sputter,Epic
jolt-mine,Jolt Mine,Rare
jolt-mine-recipe,Jolt Mine Blueprint,Legendary
junior-outfit,Junior (Outfit),Common
jupiter-i,Jupiter,Legendary
jupiter-i-recipe,Jupiter Blueprint,Legendary
kettle-i,Kettle I,Common
kettle-ii,Kettle II,Common
kettle-iii,Kettle III,Common
kettle-iv,Kettle IV,Common
kinetic-converter,Kinetic Converter,Legendary
laboratory-reagents,Laboratory Reagents,Rare
lances-mixtape-5th-edition,Lance's Mixtape (5th Edition),Epic
laser-trap-lure-recipe,Laser Trap: Lure,Common
launcher-ammo,Launcher Ammo,Rare
leaper-pulse-unit,Leaper Pulse Unit,Epic
lemon,Lemon,Common
lidar-scanner,Lidar Scanner,Common
light-ammo,Light Ammo,Common
light-bulb,Light Bulb,Uncommon
light-gun-parts,Light Gun Parts,Rare
light-gun-parts-recipe,Light Gun Parts Blueprint,Legendary
light-impact-grenade,Light Impact Grenade,Common
light-shield,Light Shield,Uncommon
lightweight-stock,Lightweight Stock,Epic
lightweight-stock-recipe,Lightweight Stock Blueprint,Legendary
lil-smoke-grenade,Li'l Smoke Grenade,Common
looting-mk-1,Looting Mk. 1,Uncommon
looting-mk-2,Looting Mk. 2,Rare
looting-mk-3-cautious,Looting MK. 3 (Cautious),Epic
looting-mk-3-survivor,Looting MK. 3 (Survivor),Epic
looting-mk-3-survivor-blueprint,Looting MK. 3 (Survivor) Blueprint,Legendary
lure-grenade,Lure Grenade,Uncommon
lure-grenade-recipe,Lure Grenade Blueprint,Legendary
lure-grenade-trap,Lure Grenade Trap,Uncommon
magnet,Magnet,Uncommon
magnetic-accelerator,Magnetic Accelerator,Epic
magnetron,Magnetron,Epic
mastery-medal-backpack-charm,Mastery Medal (Backpack Charm),Common
matriarch-reactor,Matriarch Reactor,Legendary
mechanical-components,Mechanical Components,Uncommon
medium-ammo,Medium Ammo,Common
medium-gun-parts,Medium Gun Parts,Rare
medium-gun-parts-recipe,Medium Gun Parts Blueprint,Legendary
medium-shield,Medium Shield,Rare
metal-brackets,Metal Brackets,Uncommon
metal-parts,Metal Parts,Common
microscope,Microscope,Rare
mini-centrifuge,Mini Centrifuge,Rare
mod-components,Mod Components,Rare
moss,Moss,Rare
motor,Motor,Rare
mushroom,Mushroom,Uncommon
music-album,Music Album,Rare
music-box,Music Box,Rare
muzzle-brake-i,Muzzle Brake I,Common
muzzle-brake-ii,Muzzle Brake II,Uncommon
muzzle-brake-ii-recipe,Muzzle Brake II Blueprint,Legendary
muzzle-brake-iii,Muzzle Brake III,Rare
muzzle-brake-iii-recipe,Muzzle Brake III Blueprint,Legendary
noisemaker,Noisemaker,Common
anvil-splitter-recipe,not-in-game Anvil Splitter Blueprint,Legendary
horizontal-grip-blueprint,not-in-game Horizontal Grip Blueprint,Legendary
kinetic-converter-recipe,not-in-game Kinetic Converter Blueprint,Legendary
silencer-iii-recipe,not-in-game Silencer III Blueprint,Legendary
number-plate,Number Plate,Uncommon
oil,Oil,Uncommon
olives,Olives,Uncommon
orange-camo-origin-outfit,Orange Camo (Origin Outfit),Common
osprey-recipe,Osprey Blueprint,Legendary
osprey-i,Osprey I,Rare
osprey-ii,Osprey II,Rare
osprey-iii,Osprey III,Rare
osprey-iv,Osprey IV,Rare
padded-stock,Padded Stock,Epic
padded-stock-recipe,Padded Stock Blueprint,Legendary
painted-box,Painted Box,Uncommon
patrol-car-key,Patrol Car Key,Uncommon
patrol-outfit,Patrol (Outfit),Common
photoelectric-cloak,Photoelectric Cloak,Epic
plastic-parts,Plastic Parts,Common
playing-cards,Playing Cards,Rare
polluted-air-filter,Polluted Air Filter,Rare
pop-trigger,Pop Trigger,Uncommon
portable-television,Portable TV,Rare
poster-natural-wonder,Poster of Natural Wonder,Uncommon
pottery,Pottery,Uncommon
power-bank,Power Bank,Rare
power-cable,Power Cable,Rare
power-rod,Power Rod,Epic
prickly-pear,Prickly Pear,Common
processor,Processor,Rare
projector,Projector,Rare
pulse-mine,Pulse Mine,Uncommon
pulse-mine-blueprint,Pulse Mine Blueprint,Legendary
queen-reactor,Queen Reactor,Legendary
radio,Radio,Rare
radio-relay,Radio Relay,Rare
radio-renegade-outfit,Radio Renegade (Outfit),Common
raider-hatch-key,Raider Hatch Key,Rare
rattler-i,Rattler I,Common
rattler-ii,Rattler II,Common
rattler-iii,Rattler III,Common
rattler-iv,Rattler IV,Common
recorder,Recorder,Uncommon
red-coral-jewelry,Red Coral Jewelry,Rare
red-light-stick,Red Light Stick,Common
red-light-stick-blueprint,Red Light Stick Blueprint,Legendary
refinement-1,Refinement 1,Common
remote-control,Remote Control,Rare
remote-raider-flare,Remote Raider Flare,Common
remote-raider-flare-blueprint,Remote Raider Flare Blueprint,Legendary
renegade-i,Renegade I,Rare
renegade-ii,Renegade II,Rare
renegade-iii,Renegade III,Rare
renegade-iv,Renegade IV,Rare
resin,Resin,Common
ripped-safety-vest,Ripped Safety Vest,Uncommon
rocketeer-part,Rocketeer Driver,Epic
rocket-thruster,Rocket Thruster,Rare
roots,Roots,Uncommon
rope,Rope,Rare
rosary,Rosary,Rare
rotary-encoder,Rotary Encoder,Rare
rubber-duck,Rubber Duck,Common
rubber-pad,Rubber Pad,Rare
rubber-parts-recipe,Rubber Parts,Common
ruined-accordion,Ruined Accordion,Rare
ruined-augment,Ruined Augment,Common
ruined-baton,Ruined Baton,Uncommon
ruined-handcuffs,Ruined Handcuffs,Uncommon
ruined-parachute,Ruined Parachute,Uncommon
ruined-riot-shield,Ruined Riot Shield,Rare
ruined-tactical-vest,Ruined Tactical Vest,Uncommon
rusted-bolts,Rusted Bolts,Uncommon
rusted-gear,Rusted Gear,Rare
rusted-shut-medical-kit,Rusted Shut Medical Kit,Rare
rusted-tools,Rusted Tools,Rare
rusty-arc-steel,Rusty ARC Steel,Uncommon
sample-cleaner,Sample Cleaner,Rare
seeker-grenade,Seeker Grenade,Uncommon
seeker-grenade-blueprint,Seeker Grenade Blueprint,Legendary
sensors-recipe,Sensors,Rare
sentinel-part,Sentinel Firing Core,Rare
shaker,Shaker,Uncommon
shield-recharger,Shield Recharger,Uncommon
shotgun-ammo,Shotgun ammo,Common
shotgun-choke-i,Shotgun Choke I,Common
shotgun-choke-ii,Shotgun Choke II,Uncommon
shotgun-choke-ii-recipe,Shotgun Choke II Blueprint,Legendary
shotgun-choke-iii,Shotgun Choke III,Rare
shotgun-choke-iii-recipe,Shotgun Choke III Blueprint,Legendary
shotgun-gun-parts,Shotgun Parts,Rare
shotgun-silencer,Shotgun Silencer,Epic
shotgun-silencer-blueprint,Shotgun Silencer Blueprint,Legendary
showstopper,Showstopper,Rare
showstopper-blueprint,Showstopper Blueprint,Legendary
shrapnel-grenade,Shrapnel Grenade,Uncommon
shredder-gyro,Shredder Gyro,Rare
signal-amplifier,Signal Amplifier,Rare
silencer-i,Silencer I,Uncommon
silencer-i-recipe,Silencer I Blueprint,Legendary
silencer-ii,Silencer II,Rare
silencer-ii-recipe,Silencer II Blueprint,Legendary
silencer-iii,Silencer III,Epic
silver-teaspoon-set,Silver Teaspoon Set,Rare
simple-gun-parts,Simple Gun Parts,Uncommon
smoke-grenade,Smoke Grenade,Rare
smoke-grenade-blueprint,Smoke Grenade Blueprint,Legendary
laser-trap-smoke-recipe,Smoke Grenade Trap,Rare
snap-blast-grenade,Snap Blast Grenade,Uncommon
snap-hook,Snap Hook,Legendary
snap-hook-recipe,Snap Hook Blueprint,Legendary
snitch-scanner,Snitch Scanner,Uncommon
snowball,Snowball,Common
spaceport-container-storage-key,Spaceport Container Storage Key,Rare
spaceport-ground-control-key,Spaceport Control Tower Key,Rare
spaceport-outskirts-bunker-key,Spaceport Outskirts Bunker Key,Rare
spaceport-trench-tower-key,Spaceport Trench Tower Key,Uncommon
spaceport-warehouse-key,Spaceport Warehouse Key,Uncommon
speaker-component,Speaker Component,Rare
spectrometer,Spectrometer,Rare
spectrum-analyzer,Spectrum Analyzer,Epic
spotter-relay,Spotter Relay,Uncommon
spring-cushion,Spring Cushion,Rare
stable-stock-i,Stable Stock I,Common
stable-stock-ii,Stable Stock II,Uncommon
stable-stock-ii-recipe,Stable Stock II Blueprint,Legendary
stable-stock-iii,Stable Stock III,Rare
stable-stock-iii-recipe,Stable Stock III Blueprint,Legendary
statuette,Statuette,Rare
spring,Steel Spring,Uncommon
stella-montis-archives-key,Stella Montis Archives Key,Epic
stella-montis-assembly-admin-key,Stella Montis Assembly Admin Key,Uncommon
stella-montis-medical-storage-key,Stella Montis Medical Storage Key,Uncommon
stella-montis-security-checkpoint-key,Stella Montis Security Checkpoint Key,Rare
sterilized-bandage,Sterilized Bandage,Rare
stitcher-i,Stitcher I,Common
stitcher-ii,Stitcher II,Common
stitcher-iii,Stitcher III,Common
stitcher-iv,Stitcher IV,Common
succulent-backpack-charm,Succulent (Backpack Charm),Common
surge-shield-recharger,Surge Shield Recharger,Rare
surveyor-vault,Surveyor Vault,Rare
synthesized-fuel,Synthesized Fuel,Rare
syringe,Syringe,Rare
tactical-mk-1,Tactical Mk. 1,Uncommon
tactical-mk-2,Tactical Mk. 2,Rare
tactical-mk3-defensive,Tactical Mk.3 (Defensive),Epic
tactical-mk3-defensive-blueprint,Tactical MK.3 (Defensive) Blueprint,Legendary
tactical-mk-3-healing,Tactical Mk. 3 (Healing),Epic
tacical-mk3-healing-blueprint,Tactical MK.3 (Healing) Blueprint,Legendary
tagging-grenade,Tagging Grenade,Rare
tagging-grenade-recipe,Tagging Grenade Blueprint,Legendary
tangerine-warden-color,Tangerine (Warden Color),Common
tattered-arc-lining,Tattered ARC Lining,Uncommon
tattered-clothes,Tattered Clothes,Uncommon
telemetry-transceiver,Telemetry Transceiver,Rare
tempest-i,Tempest I,Epic
tempest-i-recipe,Tempest I Blueprint,Legendary
tempest-ii,Tempest II,Epic
tempest-iii,Tempest III,Epic
tempest-iv,Tempest IV,Epic
thermostat,Thermostat,Rare
tick-pod,Tick Pod,Uncommon
toaster,Toaster,Rare
torch-ginger,Torch Ginger,Uncommon
torn-blanket,Torn Blanket,Rare
torn-book,Torn Book,Common
torrent-i-recipe,Torrente Blueprint,Legendary
torrente-i,Torrente I,Rare
torrente-ii,Torrente II,Rare
torrente-iii,Torrente III,Rare
torrente-iv,Torrente IV,Rare
trailblazer-grenade,Trailblazer Grenade,Rare
trailblazer-grenade-blueprint,Trailblazer Grenade Blueprint,Legendary
trigger-nade,Trigger Nade,Rare
trigger-nade-recipe,Trigger Nade Blueprint,Legendary
turbo-pump,Turbo Pump,Rare
unusable-weapon,Unusable Weapon,Rare
vase,Vase,Rare
venator-recipe,Venator Blueprint,Legendary
venator-i,Venator I,Rare
venator-ii,Venator II,Rare
venator-iii,Venator III,Rare
venator-iv,Venator IV,Rare
vertical-grip-i,Vertical Grip I,Common
vertical-grip-ii,Vertical Grip II,Uncommon
vertical-grip-ii-recipe,Vertical Grip II Blueprint,Legendary
vertical-grip-iii,Vertical Grip III,Rare
vertical-grip-iii-recipe,Vertical Grip III Blueprint,Legendary
very-comfortable-pillow,Very Comfortable Pillow,Uncommon
vita-shot,Vita Shot,Rare
vita-shot-recipe,Vita Shot Blueprint,Legendary
vita-spray,Vita Spray,Epic
vita-spray-recipe,Vita Spray Blueprint,Legendary
volcanic-rock,Volcanic Rock,Common
voltage-converter,Voltage Converter,Rare
vulcano-blueprint,Vulcano Blueprint,Legendary
vulcano-i,Vulcano I,Epic
vulcano-ii,Vulcano II,Epic
vulcano-iii,Vulcano III,Epic
vulcano-iv,Vulcano IV,Epic
warden-outfit,Warden (Outfit),Common
wasp-driver,Wasp Driver,Rare
water-filter,Water Filter,Rare
water-pump,Water Pump,Rare
wires-recipe,Wires,Uncommon
wolfpack,WolfPack,Epic
wolfpack-recipe,Wolfpack Blueprint,Legendary
yellow-light-stick,Yellow Light Stick,Common
yellow-light-stick-blueprint,Yellow Light Stick Blueprint,Legendary
zipline,Zipline,Rare
